n,MW,LogP,TPSA,Asphericity,Rg,R_ee,Shape_Ratio,Ester_Count,Ester_Density,Rotatable_Bonds,Flexibility,SASA,Persistence_Length,Methyl_Branches
1,104.1,-0.16,57.53,0.591,2.16,2.41,1.11,0,0.0,4,0.571,53.0,1.11,0
2,190.19,-0.4,83.83,0.723,3.43,6.65,1.94,2,10.52,8,0.615,96.16,1.4,0
3,190.19,-0.4,83.83,0.68,3.5,6.42,1.84,2,10.52,8,0.615,96.16,0.97,0
4,190.19,-0.4,83.83,0.589,3.24,5.1,1.57,2,10.52,8,0.615,96.16,0.63,0
5,190.19,-0.4,83.83,0.261,2.63,3.81,1.45,2,10.52,8,0.615,96.16,0.33,0
6,190.19,-0.4,83.83,0.756,3.46,6.73,1.95,2,10.52,8,0.615,96.16,0.47,0
7,190.19,-0.4,83.83,0.661,3.55,6.59,1.86,2,10.52,8,0.615,96.16,0.43,0
8,190.19,-0.4,83.83,0.573,3.36,6.27,1.87,2,10.52,8,0.615,96.16,0.34,0
9,190.19,-0.4,83.83,0.629,3.41,6.5,1.91,2,10.52,8,0.615,96.16,0.31,0
10,190.19,-0.4,83.83,0.43,3.07,5.13,1.67,2,10.52,8,0.615,96.16,0.22,0
11,190.19,-0.4,83.83,0.543,3.34,5.95,1.78,2,10.52,8,0.615,96.16,0.24,0
12,190.19,-0.4,83.83,0.777,3.63,7.24,2.0,2,10.52,8,0.615,96.16,0.26,0
