n,MW,LogP,TPSA,Asphericity,Rg,R_ee,Shape_Ratio,Ester_Count,Ester_Density,Rotatable_Bonds,Flexibility,SASA,Persistence_Length,Methyl_Branches
1,76.05,-0.94,57.53,0.398,1.52,1.42,0.94,0,0.0,2,0.4,34.65,0.82,0
2,134.09,-1.39,83.83,0.471,2.34,3.99,1.71,1,7.46,4,0.444,59.46,0.98,0
3,192.12,-1.85,110.13,0.626,3.0,4.2,1.4,2,10.41,6,0.462,84.28,1.07,0
4,250.16,-2.31,136.43,0.217,2.98,3.12,1.05,3,11.99,8,0.471,109.09,0.79,0
5,308.19,-2.76,162.73,0.686,4.81,4.71,0.98,4,12.98,10,0.476,133.91,1.65,0
6,366.23,-3.22,189.03,0.587,5.09,4.21,0.83,5,13.65,12,0.48,158.72,1.54,0
7,424.27,-3.68,215.33,0.712,5.94,4.71,0.79,6,14.14,14,0.483,183.54,1.8,0
8,482.3,-4.13,241.63,0.855,7.04,4.21,0.6,7,14.51,16,0.485,208.35,2.21,0
9,540.34,-4.59,267.93,0.68,6.08,3.95,0.65,8,14.81,18,0.486,233.17,1.47,0
10,598.38,-5.05,294.23,0.817,7.41,3.75,0.51,9,15.04,20,0.488,257.98,1.96,0
11,656.41,-5.5,320.53,0.746,8.35,4.21,0.5,10,15.23,22,0.489,282.8,2.27,0
12,714.45,-5.96,346.83,0.615,7.7,3.16,0.41,11,15.4,24,0.49,307.61,1.77,0
