n,MW,LogP,TPSA,Asphericity,Rg,R_ee,Shape_Ratio,Ester_Count,Ester_Density,Rotatable_Bonds,Flexibility,SASA,Persistence_Length,Methyl_Branches
1,104.1,-0.16,57.53,0.359,1.93,2.4,1.24,0,0.0,4,0.571,53.0,1.07,1
2,190.19,0.16,83.83,0.607,3.14,5.27,1.68,1,5.26,8,0.615,96.16,1.41,2
3,276.29,0.49,110.13,0.589,4.21,5.93,1.41,2,7.24,12,0.632,139.33,1.69,3
4,362.37,0.81,136.43,0.759,5.02,5.21,1.04,3,8.28,16,0.64,182.49,1.8,4
5,448.46,1.13,162.73,0.472,5.5,5.95,1.08,4,8.92,20,0.645,225.66,1.73,5
6,534.56,1.45,189.03,0.592,6.55,4.29,0.65,5,9.35,24,0.649,268.82,2.04,6
7,620.65,1.77,215.33,0.87,8.99,5.24,0.58,6,9.67,28,0.651,311.99,3.3,7
8,706.74,2.09,241.63,0.735,8.66,5.33,0.62,7,9.9,32,0.653,355.15,2.68,8
9,792.83,2.42,267.93,0.796,10.12,5.31,0.53,8,10.09,36,0.655,398.31,3.25,9
10,878.92,2.74,294.23,0.865,11.15,5.3,0.48,9,10.24,40,0.656,441.48,3.55,10
11,965.01,3.06,320.53,0.892,11.34,4.97,0.44,10,10.36,44,0.657,484.64,3.34,11
12,1051.1,3.38,346.83,0.883,11.66,4.96,0.43,11,10.47,48,0.658,527.81,3.24,12
