n,MW,LogP,TPSA,Asphericity,Rg,R_ee,Shape_Ratio,Ester_Count,Ester_Density,Rotatable_Bonds,Flexibility,SASA,Persistence_Length,Methyl_Branches
1,104.1,-0.16,57.53,0.214,1.81,2.39,1.32,0,0.0,4,0.571,53.0,0.89,1
2,190.19,0.16,83.83,0.501,2.93,5.3,1.81,1,5.26,8,0.615,96.16,1.16,2
3,276.29,0.49,110.13,0.482,3.87,4.65,1.2,2,7.24,12,0.632,139.33,1.35,3
4,362.37,0.81,136.43,0.649,5.13,5.27,1.03,3,8.28,16,0.64,182.49,1.78,4
5,448.46,1.13,162.73,0.565,5.76,5.14,0.89,4,8.92,20,0.645,225.66,1.8,5
6,534.56,1.45,189.03,0.722,7.05,5.32,0.75,5,9.35,24,0.649,268.82,2.24,6
7,620.65,1.77,215.33,0.687,8.15,5.92,0.73,6,9.67,28,0.651,311.99,2.57,7
8,706.74,2.09,241.63,0.861,10.08,4.72,0.47,7,9.9,32,0.653,355.15,3.43,8
9,792.83,2.42,267.93,0.89,11.3,5.11,0.45,8,10.09,36,0.655,398.31,3.84,9
10,878.92,2.74,294.23,0.895,11.23,5.84,0.52,9,10.24,40,0.656,441.48,3.41,10
11,965.01,3.06,320.53,0.823,10.62,5.19,0.49,10,10.36,44,0.657,484.64,2.77,11
12,1051.1,3.38,346.83,0.875,12.73,3.41,0.27,11,10.47,48,0.658,527.81,3.65,12
