n,MW,LogP,TPSA,Asphericity,Rg,R_ee,Shape_Ratio,Ester_Count,Ester_Density,Rotatable_Bonds,Flexibility,SASA,Persistence_Length,Methyl_Branches
1,90.08,-0.55,57.53,0.238,1.65,2.38,1.45,0,0.0,3,0.5,43.82,0.9,1
2,162.14,-0.62,83.83,0.459,2.53,4.71,1.86,1,6.17,6,0.545,77.81,1.07,2
3,234.2,-0.68,110.13,0.225,2.85,3.08,1.08,2,8.54,9,0.562,111.8,0.9,3
4,306.27,-0.75,136.43,0.617,3.99,4.17,1.05,3,9.8,12,0.571,145.79,1.33,4
5,378.33,-0.82,162.73,0.583,4.46,4.17,0.94,4,10.57,15,0.577,179.78,1.32,5
6,450.39,-0.89,189.03,0.365,4.75,4.18,0.88,5,11.1,18,0.581,213.77,1.26,6
7,522.46,-0.96,215.33,0.802,6.76,3.03,0.45,6,11.48,21,0.583,247.76,2.18,7
8,594.52,-1.03,241.63,0.629,6.23,3.04,0.49,7,11.77,24,0.585,281.75,1.62,8
9,666.58,-1.09,267.93,0.802,7.64,4.17,0.55,8,12.0,27,0.587,315.74,2.16,9
10,738.65,-1.16,294.23,0.731,7.39,4.19,0.57,9,12.18,30,0.588,349.73,1.82,10
11,810.71,-1.23,320.53,0.777,9.51,3.7,0.39,10,12.33,33,0.589,383.72,2.74,11
12,882.77,-1.3,346.83,0.827,9.61,3.01,0.31,11,12.46,36,0.59,417.71,2.57,12
