n,MW,LogP,TPSA,Asphericity,Rg,R_ee,Shape_Ratio,Ester_Count,Ester_Density,Rotatable_Bonds,Flexibility,SASA,Persistence_Length,Methyl_Branches
1,108.18,2.25,0.0,0.396,2.04,3.34,1.64,0,0.0,2,0.25,64.21,0.99,1
2,212.33,4.42,0.0,0.579,3.58,6.57,1.84,0,0.0,5,0.312,123.24,1.52,1
3,316.48,6.6,0.0,0.357,4.26,6.58,1.54,0,0.0,8,0.333,182.26,1.44,1
4,420.63,8.77,0.0,0.332,4.84,6.57,1.36,0,0.0,11,0.344,241.29,1.39,1
5,524.78,10.94,0.0,0.251,5.09,6.6,1.3,0,0.0,14,0.35,300.32,1.23,1
6,628.94,13.12,0.0,0.177,5.38,5.82,1.08,0,0.0,17,0.354,359.34,1.15,1
7,733.09,15.29,0.0,0.322,6.15,5.41,0.88,0,0.0,20,0.357,418.37,1.29,1
8,837.24,17.47,0.0,0.339,6.36,6.57,1.03,0,0.0,23,0.359,477.4,1.2,1
9,941.39,19.64,0.0,0.383,6.72,5.28,0.79,0,0.0,26,0.361,536.42,1.19,1
10,1045.54,21.81,0.0,0.415,7.26,6.55,0.9,0,0.0,29,0.362,595.45,1.26,1
11,1149.7,23.99,0.0,0.454,7.43,5.47,0.74,0,0.0,32,0.364,654.48,1.19,1
12,1253.85,26.16,0.0,0.509,8.66,6.53,0.75,0,0.0,35,0.365,713.51,1.49,1
